1;44.1495;-73.7699;
2;44.14928;-73.77032;
3;44.14928;-73.77071;
4;44.14926;-73.77116;
5;44.14922;-73.77156;
6;44.14926;-73.77188;
7;44.14933;-73.77227;
8;44.14948;-73.77304;
9;44.14958;-73.77346;
10;44.14958;-73.774;
11;44.1496;-73.77444;
12;44.14961;-73.7749;
13;44.14933;-73.77488;
14;44.14905;-73.77484;
15;44.14897;-73.77445;
16;44.14888;-73.77405;
17;44.14879;-73.77365;
18;44.14849;-73.77318;
19;44.14819;-73.77284;
20;44.14793;-73.77272;
21;44.14774;-73.77214;
22;44.14742;-73.77186;
23;44.14707;-73.77175;
24;44.14682;-73.77156;
25;44.14666;-73.77128;
26;44.14633;-73.77108;
27;44.14611;-73.7709;
28;44.14585;-73.77085;
29;44.14536;-73.77051;
30;44.14506;-73.77041;
31;44.14484;-73.77022;
32;44.1446;-73.7699;
33;44.14433;-73.76956;
34;44.14411;-73.7693;
35;44.14377;-73.76907;
36;44.14347;-73.76896;
37;44.1434730977;-73.7689678569;
38;44.14325;-73.76922;
39;44.14298;-73.76944;
40;44.14263;-73.76957;
41;44.14233;-73.76956;
42;44.14194;-73.76958;
43;44.14163;-73.76945;
44;44.14143;-73.76979;
45;44.14119;-73.76992;
46;44.14094;-73.77005;
47;44.14073;-73.77016;
48;44.14023;-73.77083;
49;44.1392;-73.77136;
50;44.13927;-73.77179;
51;44.13941;-73.77205;
52;44.13937;-73.77244;
53;44.13907;-73.7725;
54;44.13882;-73.77259;
55;44.13873;-73.77297;
56;44.13849;-73.77319;
57;44.1383;-73.77302;
58;44.13813;-73.7728;
59;44.13787;-73.7729;
60;44.13763;-73.77285;
61;44.13742;-73.77269;
62;44.13718;-73.77267;
63;44.13688;-73.77248;
64;44.13664;-73.77236;
65;44.13638;-73.77241;
66;44.13615;-73.77248;
67;44.13592;-73.77257;
68;44.13557;-73.77283;
69;44.13527;-73.77287;
70;44.13506;-73.77316;
71;44.13472;-73.77312;
72;44.13445;-73.77306;
73;44.13429;-73.77329;
74;44.13403;-73.7734;
75;44.13364;-73.7735;
76;44.13336;-73.7736;
77;44.13312;-73.77398;
78;44.13285;-73.77423;
79;44.13263;-73.77445;
80;44.13237;-73.77446;
